SKU,BaseCode,Name,BaseCurve,BridgeSize,EyeSize,TempleSize,VerticalSize,AsianFitIndicator,AutomaticPlusOption,AvailabilityAsMauiPlano,AvailabilityAsMauiReader,ImageUrl,FrameColor,LensColor,LensGradient,LensMaterial,ReaderPower,StockLevel,StockStatus,TshirtDesign,FrameSize,
MM103-003,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-003_front.jpg,Gloss Black,Maui HTâ„¢ 555,Bi-Gradient,MauiBrilliant,0,623519,inStock,10,44,
MM103-004,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-004_front.jpg,Gloss Black,Maui RoseÂ®,Bi-Gradient,MauiBrilliant,0,623520,inStock,10,22,
MM103-005,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-005_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,MauiBrilliantss,0,2530,inStock,10,11,
MM103-006,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-006_front.jpg,Tortoise,Warrior Red,Bi-Gradients,MauiBrilliant,0,2530,inStock,10,12,
MM103-007,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-007_front.jpg,Tortoise,Maui HTâ„¢,Bi-Gradient,MauiBrilliant,0,2530,inStock,10,13,
MM103-008,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-008_front.jpg,Tortoise,Maui RoseÂ®,Bi-Gradient,MauiBrilliant,0,2530,inStock,10,11,
MM103-009,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-009_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,SuperThin Glass,0,2530,inStock,10,11,
MM103-010,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-010_front.jpg,Crystal Matte,Neutral Grey,Bi-Gradient,MauiBrilliant,0,2530,inStock,10,11,
MM103-011,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-011_front.jpg,Crystal Matte,HCLÂ® Bronze,Bi-Gradient,MauiBrilliant,0,2530,inStock,10,11,
MM103-012,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-012_front.jpg,Crystal Matte,Maui RoseÂ®,Bi-Gradient,MauiBrilliant,0,2530,inStock,10,11,
MM103-013,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-013_front.jpg,Crystal Matte,Maui HTâ„¢,Bi-Gradient,MauiBrilliant,0,2530,inStock,10,11,
MM103-016,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-016_front.jpg,Crystal Matte,Neutral Grey,Bi-Gradient,SuperThin Glass,0,2530,inStock,10,11,
MM103-017,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-017_front.jpg,Crystal Matte,HCLÂ® Bronze,Bi-Gradient,SuperThin Glass,0,2530,inStock,10,11,
MM103-025,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-025_front.jpg,Gloss Black,MAUI Sunrise,Full Mirror,MauiBrilliant,0,2530,inStock,10,11,
MM103-027,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-027_front.jpg,Crystal Matte,MAUI Sunrise,Full Mirror,MauiBrilliant,0,2530,inStock,10,11,
MM103-028,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-028_front.jpg,Tortoise,MAUI Sunrise,Full Mirror,MauiBrilliant,0,1056,inStock,10,11,
MM103-029,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-029_front.jpg,Tortoise,Blue Hawaii,Full Mirror,MauiBrilliant,0,1056,inStock,10,11,
MM103-030,MM103,STINGRAY,8,21,56,0,0,FALSE,FALSE,FALSE,FALSE,https://images.mauijim.com/mymaui/103/MM103-030_front.jpg,Gloss Black,HAWAII LAVAâ„¢,Full Mirror,MauiBrilliant,0,2530,inStock,10,11,
