ID,Name,Description,Status,Categories,Weight,Brand,Stock,StockCheck,CatalogID,Hide,NotForSale,Image1,ImageCaption1,Image2,ImageCaption2,Image3,ImageCaption3,Image4,ImageCaption4,Condition,Breadcrumb,Link,Price,SalePrice,UPC,COGS,Discontinued,ProductType,Feature1,Feature2,Feature3
11210-000027,Physio-Control AED Cabinet Recessed-Mount Fire Rated with Audible Alarm,"Physio-Control Recessed-Mount Fire Rated AED Cabinet with Audible Alarm.&nbsp; Features square edges. The sturdy metal construction protects and prominently displays your AED. Door-activated audible alarm alerts everyone in the area the AED has been deployed&nbsp;for rescue. Compatible with LIFEPAK 500, LIFEPAK 1000, LIFEPAK CR Plus and LIFEPAK EXPRESS Defibrillators. Steel Finish with White Trim and 1.5"" Return       Compatible with:  All Physio-Control AED Models  Inside Tank Dimensions:   Surface Mount: 17.125""H x 17.125""W x 6.125""D Recessed Mount: 14""H x 14""W x 6.125""D&nbsp; Semi-Recessed: 14""H x 14""W x 6.125""D&nbsp; View Complete Cabinet Dimensions",,Discounted Accessories@AED Wall Cabinets\/Signs/AED Cabinets for Sale/Manufacturer & Specialty Cabinets/Physio-Control Cabinets@AED Wall Cabinets\/Signs/AED Cabinets for Sale@Cabinets & Cases@All Products excluding aha zoll accessories training manikins,20,Physio-Control,0,OutOfStock,1000,0,0,assets/images/11210-000027.jpg,Cabinet,assets/images/11210-000027-front.jpg,Front,assets/images/11210-000027-back-side.jpg,Back,assets/images/11210-000027-open.jpg,Open,New,Discounted Accessories@,https://www.aedsuperstore.com/physio-control-aed-cabinet-recessed-mount-fire-rated-with-audible-alarm.html,686,0,,0,No,AED Cabinets,,,
21300-006797,Physio-Control AED Cabinet Window Replacement Kit,"Physio-Control AED Cabinet Window Replacement Kit. Measures 11.75"" wide by 13.5"" high.",,Discounted Accessories@All Products excluding aha zoll accessories training manikins,20,Physio-Control,3,InStock,1001,0,0,assets/images/21300-006797.jpg,,,,,,,,New,Discounted Accessories,https://www.aedsuperstore.com/physio-control-aed-cabinet-window-replacement-kit.html,71,0,,39.0533,No,AED Cabinets,,,
