item,parent_sku,available,size_scale,size,category,title,msrp,price,brand,link,image,description,c_colour,c_heel_height,c_gender,c_material
SK12013BLASM100,SK12013-BLA-SM,TRUE,SFM,10,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Uno Ctl Black Sneakers,169.99,169.99,SKECHERS,https://www.styletread.com.au/uno-ctl-black-sneakers.html,https://bynder.munrofg.com/m/39cf056fd8ddd0f/original/SK12013BLASM_2.jpg,"Unlock effortless style with these casual sneakers from Skechers. Designed for all-day comfort, UNO CTL is a cushioned favourite in any staple wardrobe.",BLACK,3,MENS,SMOOTH
SK12013BLASM110,SK12013-BLA-SM,TRUE,SFM,11,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Uno Ctl Black Sneakers,169.99,169.99,SKECHERS,https://www.styletread.com.au/uno-ctl-black-sneakers.html,https://bynder.munrofg.com/m/39cf056fd8ddd0f/original/SK12013BLASM_2.jpg,"Unlock effortless style with these casual sneakers from Skechers. Designed for all-day comfort, UNO CTL is a cushioned favourite in any staple wardrobe.",BLACK,3,MENS,SMOOTH
CF12420WZLLE390,CF12420-WZL-LE,TRUE,EUW,39,SHOES ONLINE > SALE|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > WOMEN'S SHOES > COMFORT > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > SNEAKERS|SHOES ONLINE > BRANDS > COLORADO|SHOES ONLINE > MATHERS SALE|SHOES ONLINE > WILLIAMS SALE|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > WHITE SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS > SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO > SALE,Hey White Gum Leather Sneakers,179.95,99,COLORADO,https://www.styletread.com.au/hey-white-gum-leather-sneakers.html,https://bynder.munrofg.com/m/533eee6a0b46f7e2/original/CF12420WZLLE_2.jpg,Refresh your everyday style with these casual leather sneakers from Colorado. HEY is a modern icon that slots into any essentials wardrobe.,WHITE-GUM SOLE,2,WOMENS,LEATHER
CF12420WZLLE410,CF12420-WZL-LE,TRUE,EUW,41,SHOES ONLINE > SALE|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > WOMEN'S SHOES > COMFORT > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > SNEAKERS|SHOES ONLINE > BRANDS > COLORADO|SHOES ONLINE > MATHERS SALE|SHOES ONLINE > WILLIAMS SALE|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > WHITE SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS > SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO > SALE,Hey White Gum Leather Sneakers,179.95,99,COLORADO,https://www.styletread.com.au/hey-white-gum-leather-sneakers.html,https://bynder.munrofg.com/m/533eee6a0b46f7e2/original/CF12420WZLLE_2.jpg,Refresh your everyday style with these casual leather sneakers from Colorado. HEY is a modern icon that slots into any essentials wardrobe.,WHITE-GUM SOLE,2,WOMENS,LEATHER
CF12420WZLLE400,CF12420-WZL-LE,TRUE,EUW,40,SHOES ONLINE > SALE|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > WOMEN'S SHOES > COMFORT > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > SNEAKERS|SHOES ONLINE > BRANDS > COLORADO|SHOES ONLINE > MATHERS SALE|SHOES ONLINE > WILLIAMS SALE|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > WHITE SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS > SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO > SALE,Hey White Gum Leather Sneakers,179.95,99,COLORADO,https://www.styletread.com.au/hey-white-gum-leather-sneakers.html,https://bynder.munrofg.com/m/533eee6a0b46f7e2/original/CF12420WZLLE_2.jpg,Refresh your everyday style with these casual leather sneakers from Colorado. HEY is a modern icon that slots into any essentials wardrobe.,WHITE-GUM SOLE,2,WOMENS,LEATHER
CF12420WZLLE370,CF12420-WZL-LE,TRUE,EUW,37,SHOES ONLINE > SALE|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > WOMEN'S SHOES > COMFORT > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > SNEAKERS|SHOES ONLINE > BRANDS > COLORADO|SHOES ONLINE > MATHERS SALE|SHOES ONLINE > WILLIAMS SALE|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > WHITE SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS > SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO > SALE,Hey White Gum Leather Sneakers,179.95,99,COLORADO,https://www.styletread.com.au/hey-white-gum-leather-sneakers.html,https://bynder.munrofg.com/m/533eee6a0b46f7e2/original/CF12420WZLLE_2.jpg,Refresh your everyday style with these casual leather sneakers from Colorado. HEY is a modern icon that slots into any essentials wardrobe.,WHITE-GUM SOLE,2,WOMENS,LEATHER
CF12420WZLLE380,CF12420-WZL-LE,TRUE,EUW,38,SHOES ONLINE > SALE|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > WOMEN'S SHOES > COMFORT > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > SNEAKERS|SHOES ONLINE > BRANDS > COLORADO|SHOES ONLINE > MATHERS SALE|SHOES ONLINE > WILLIAMS SALE|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > WHITE SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS > SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO > SALE,Hey White Gum Leather Sneakers,179.95,99,COLORADO,https://www.styletread.com.au/hey-white-gum-leather-sneakers.html,https://bynder.munrofg.com/m/533eee6a0b46f7e2/original/CF12420WZLLE_2.jpg,Refresh your everyday style with these casual leather sneakers from Colorado. HEY is a modern icon that slots into any essentials wardrobe.,WHITE-GUM SOLE,2,WOMENS,LEATHER
CF12420WZLLE360,CF12420-WZL-LE,TRUE,EUW,36,SHOES ONLINE > SALE|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > WOMEN'S SHOES > COMFORT > SNEAKERS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > SNEAKERS|SHOES ONLINE > BRANDS > COLORADO|SHOES ONLINE > MATHERS SALE|SHOES ONLINE > WILLIAMS SALE|SHOES ONLINE > WOMEN'S SHOES > SNEAKERS > WHITE SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS > SNEAKERS|SHOES ONLINE > FEATURED BRANDS > COLORADO > SALE,Hey White Gum Leather Sneakers,179.95,99,COLORADO,https://www.styletread.com.au/hey-white-gum-leather-sneakers.html,https://bynder.munrofg.com/m/533eee6a0b46f7e2/original/CF12420WZLLE_2.jpg,Refresh your everyday style with these casual leather sneakers from Colorado. HEY is a modern icon that slots into any essentials wardrobe.,WHITE-GUM SOLE,2,WOMENS,LEATHER
SK12010DR2SS120,SK12010-DR2-SS,TRUE,SFM,12,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Bounder 2 Maylon Blue Lime Knit Sneakers,139.99,139.99,SKECHERS,https://www.styletread.com.au/bounder-2-maylon-blue-lime-knit-sneakers.html,https://bynder.munrofg.com/m/3ec7f2434d52779a/original/SK12010DR2SS_2.jpg,"These active sneakers from Skechers are engineered for easy comfort. BOUNDER 2 MAYLON's lightweight cushioning and flexible design supports every step, every day.",BLUE-LIME,3,MENS,KNIT
SK12010DR2SS100,SK12010-DR2-SS,TRUE,SFM,10,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Bounder 2 Maylon Blue Lime Knit Sneakers,139.99,139.99,SKECHERS,https://www.styletread.com.au/bounder-2-maylon-blue-lime-knit-sneakers.html,https://bynder.munrofg.com/m/3ec7f2434d52779a/original/SK12010DR2SS_2.jpg,"These active sneakers from Skechers are engineered for easy comfort. BOUNDER 2 MAYLON's lightweight cushioning and flexible design supports every step, every day.",BLUE-LIME,3,MENS,KNIT
SK12005BLASS110,SK12005-BLA-SS,TRUE,SFM,11,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Go Walk Now Slip Ins Black Knit Sneakers,149.99,149.99,SKECHERS,https://www.styletread.com.au/go-walk-now-slip-ins-black-knit-sneakers.html,https://bynder.munrofg.com/m/6df8d3c43fc16564/original/SK12005BLASS_2.jpg,Slip into the convenient comfort of these active sneakers from Skechers. GO WALK NOW is an everyday favourite that's cushioned for lasting comfort.,BLACK,3,MENS,KNIT
SK12005BLASS100,SK12005-BLA-SS,TRUE,SFM,10,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Go Walk Now Slip Ins Black Knit Sneakers,149.99,149.99,SKECHERS,https://www.styletread.com.au/go-walk-now-slip-ins-black-knit-sneakers.html,https://bynder.munrofg.com/m/6df8d3c43fc16564/original/SK12005BLASS_2.jpg,Slip into the convenient comfort of these active sneakers from Skechers. GO WALK NOW is an everyday favourite that's cushioned for lasting comfort.,BLACK,3,MENS,KNIT
SK12005BLASS120,SK12005-BLA-SS,TRUE,SFM,12,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Go Walk Now Slip Ins Black Knit Sneakers,149.99,149.99,SKECHERS,https://www.styletread.com.au/go-walk-now-slip-ins-black-knit-sneakers.html,https://bynder.munrofg.com/m/6df8d3c43fc16564/original/SK12005BLASS_2.jpg,Slip into the convenient comfort of these active sneakers from Skechers. GO WALK NOW is an everyday favourite that's cushioned for lasting comfort.,BLACK,3,MENS,KNIT
SK12005BLASS080,SK12005-BLA-SS,TRUE,SFM,8,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Go Walk Now Slip Ins Black Knit Sneakers,149.99,149.99,SKECHERS,https://www.styletread.com.au/go-walk-now-slip-ins-black-knit-sneakers.html,https://bynder.munrofg.com/m/6df8d3c43fc16564/original/SK12005BLASS_2.jpg,Slip into the convenient comfort of these active sneakers from Skechers. GO WALK NOW is an everyday favourite that's cushioned for lasting comfort.,BLACK,3,MENS,KNIT
SK12005BLASS090,SK12005-BLA-SS,TRUE,SFM,9,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Go Walk Now Slip Ins Black Knit Sneakers,149.99,149.99,SKECHERS,https://www.styletread.com.au/go-walk-now-slip-ins-black-knit-sneakers.html,https://bynder.munrofg.com/m/6df8d3c43fc16564/original/SK12005BLASS_2.jpg,Slip into the convenient comfort of these active sneakers from Skechers. GO WALK NOW is an everyday favourite that's cushioned for lasting comfort.,BLACK,3,MENS,KNIT
