item,parent_sku,available,size_scale,size,category,title,msrp,price,brand,link,image,description,c_colour,c_heel_height,c_gender,c_material
SK12011N3NSM130,SK12011-N3N-SM,TRUE,SFM,13,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Uno Harry Kane Air Taupe Silver Sneakers,159.99,159.99,SKECHERS,https://www.styletread.com.au/uno-harry-kane-air-taupe-silver-sneakers.html,https://bynder.munrofg.com/m/43f10986559b6bc8/original/SK12011N3NSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, UNO HARRY KANE AIR is a casual favourite for every day of the week.",TAUPE-SILVER,3,MENS,SMOOTH
SK12011N3NSM090,SK12011-N3N-SM,TRUE,SFM,9,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Uno Harry Kane Air Taupe Silver Sneakers,159.99,159.99,SKECHERS,https://www.styletread.com.au/uno-harry-kane-air-taupe-silver-sneakers.html,https://bynder.munrofg.com/m/43f10986559b6bc8/original/SK12011N3NSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, UNO HARRY KANE AIR is a casual favourite for every day of the week.",TAUPE-SILVER,3,MENS,SMOOTH
SK12011N3NSM080,SK12011-N3N-SM,TRUE,SFM,8,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Uno Harry Kane Air Taupe Silver Sneakers,159.99,159.99,SKECHERS,https://www.styletread.com.au/uno-harry-kane-air-taupe-silver-sneakers.html,https://bynder.munrofg.com/m/43f10986559b6bc8/original/SK12011N3NSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, UNO HARRY KANE AIR is a casual favourite for every day of the week.",TAUPE-SILVER,3,MENS,SMOOTH
SK12012NGMSM070,SK12012-NGM-SM,TRUE,SFM,7,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Koopa Harry Kane Court Stone Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/koopa-harry-kane-court-stone-sneakers.html,https://bynder.munrofg.com/m/6e3a8c5de4adb23e/original/SK12012NGMSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, KOOPA HARRY KANE COURT is a casual favourite for every day of the week.",STONE,3,MENS,SMOOTH
SK12012NGMSM080,SK12012-NGM-SM,TRUE,SFM,8,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Koopa Harry Kane Court Stone Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/koopa-harry-kane-court-stone-sneakers.html,https://bynder.munrofg.com/m/6e3a8c5de4adb23e/original/SK12012NGMSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, KOOPA HARRY KANE COURT is a casual favourite for every day of the week.",STONE,3,MENS,SMOOTH
SK12012NGMSM090,SK12012-NGM-SM,TRUE,SFM,9,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Koopa Harry Kane Court Stone Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/koopa-harry-kane-court-stone-sneakers.html,https://bynder.munrofg.com/m/6e3a8c5de4adb23e/original/SK12012NGMSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, KOOPA HARRY KANE COURT is a casual favourite for every day of the week.",STONE,3,MENS,SMOOTH
SK12012NGMSM100,SK12012-NGM-SM,TRUE,SFM,10,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Koopa Harry Kane Court Stone Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/koopa-harry-kane-court-stone-sneakers.html,https://bynder.munrofg.com/m/6e3a8c5de4adb23e/original/SK12012NGMSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, KOOPA HARRY KANE COURT is a casual favourite for every day of the week.",STONE,3,MENS,SMOOTH
SK12012NGMSM120,SK12012-NGM-SM,TRUE,SFM,12,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Koopa Harry Kane Court Stone Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/koopa-harry-kane-court-stone-sneakers.html,https://bynder.munrofg.com/m/6e3a8c5de4adb23e/original/SK12012NGMSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, KOOPA HARRY KANE COURT is a casual favourite for every day of the week.",STONE,3,MENS,SMOOTH
SK12012NGMSM130,SK12012-NGM-SM,TRUE,SFM,13,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Koopa Harry Kane Court Stone Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/koopa-harry-kane-court-stone-sneakers.html,https://bynder.munrofg.com/m/6e3a8c5de4adb23e/original/SK12012NGMSM_2.jpg,"Crafted with global star Harry Kane, these sneakers from Skechers are undeniable in any summer wardrobe. Effortlessly stylish, KOOPA HARRY KANE COURT is a casual favourite for every day of the week.",STONE,3,MENS,SMOOTH
SK12010DR2SS090,SK12010-DR2-SS,TRUE,SFM,9,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Bounder 2 Maylon Blue Lime Knit Sneakers,139.99,139.99,SKECHERS,https://www.styletread.com.au/bounder-2-maylon-blue-lime-knit-sneakers.html,https://bynder.munrofg.com/m/3ec7f2434d52779a/original/SK12010DR2SS_2.jpg,"These active sneakers from Skechers are engineered for easy comfort. BOUNDER 2 MAYLON's lightweight cushioning and flexible design supports every step, every day.",BLUE-LIME,3,MENS,KNIT
