SKU*,Parent SKU,Parent SKU Colour,Name,Brand,Description(No html),Features,Specifications,Specifics,Date Added,In Stock,In Promotion,UPC/EAN,Type,"All Variation SKUs (Delimited by “,”)",Image URL,Product URL,RRP,"Current Price (A - if on promotion, promotion price used)",Product Category Full Path List
100499-1171-923-M,100499-1165,100499-1165-Blue,Mons Royale Cascade Merino Flex 200 Mens Long Sleeve Base Layer T-Shirt - Signal Lost Goblin Blue - M,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Signal Lost Goblin Blue;Shirt Type:Long Sleeve;Size:M;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Blue,2025-11-07 00:00:00,y,0,9420070076186,T-Shirts,,https://www.wildearth.com.au/assets/full/100499-1171-923-M.webp,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-base-layer-long-sl/100499-1171-923-M,149.95,149.95,All Products > Clothing > Tops > T-Shirts
100499-1171-923-S,100499-1165,100499-1165-Blue,Mons Royale Cascade Merino Flex 200 Mens Long Sleeve Base Layer T-Shirt - Signal Lost Goblin Blue - S,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Signal Lost Goblin Blue;Shirt Type:Long Sleeve;Size:S;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Blue,2025-11-07 00:00:00,y,0,9420070076179,T-Shirts,,https://www.wildearth.com.au/assets/full/100499-1171-923-S.webp,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-base-layer-long-sl/100499-1171-923-S,149.95,149.95,All Products > Clothing > Tops > T-Shirts
100499-1171-923-XL,100499-1165,100499-1165-Blue,Mons Royale Cascade Merino Flex 200 Mens Long Sleeve Base Layer T-Shirt - Signal Lost Goblin Blue - XL,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Signal Lost Goblin Blue;Shirt Type:Long Sleeve;Size:XL;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Blue,2025-11-07 00:00:00,y,0,9420070076209,T-Shirts,,https://www.wildearth.com.au/assets/full/100499-1171-923-XL.webp,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-base-layer-long-sl/100499-1171-923-XL,149.95,149.95,All Products > Clothing > Tops > T-Shirts
100501-1169,,100501-1169,Mons Royale Cascade Merino Flex 200 Mens 3/4 Base Layer Leggings,Mons Royale,"Made to move, the Cascade provides all the warmth of merino with a 4-way stretch. Cascade has been designed to keep its shape and last longer.","<ul>
	<li>Flatlocked seams to prevent friction</li>
	<li>3/4 length baselayer legging.</li>
</ul>
","<p>Fit: Slim<br />
Fabric Type: Merino Flex<br />
Weight: 180gsm<br />
Blend: 81% Merino Wool 12% Nylon 7% Elastane</p>
",Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Clothing Type:Baselayer;Natural Fibre:Yes,2025-04-02 00:00:00,y,1,,Pants,"100501-1169-001-L,100501-1169-001-M,100501-1169-001-S,100501-1169-001-XL",https://www.wildearth.com.au/assets/full/100501-1169.jpg,https://www.wildearth.com.au/buy/mons-royale-cascade-merino-flex-200-mens-3-4-base/100501-1169,130,105.95,All Products > Clothing > Bottoms > Tights
100501-1169-001-L,100501-1169,100501-1169-Black,Mons Royale Cascade Merino Flex 200 Mens 3/4 Base Layer Leggings - Black - L,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Black;Size:L;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Black,2025-04-02 00:00:00,y,1,9420057478514,Pants,,https://www.wildearth.com.au/assets/full/100501-1169-001-L.jpg,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-flex-200-3-4-leggi/100501-1169-001-L,119.95,105.95,All Products > Clothing > Bottoms > Tights
100501-1169-001-M,100501-1169,100501-1169-Black,Mons Royale Cascade Merino Flex 200 Mens 3/4 Base Layer Leggings - Black - M,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Black;Size:M;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Black,2025-04-02 00:00:00,y,1,9420057478507,Pants,,https://www.wildearth.com.au/assets/full/100501-1169-001-M.jpg,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-flex-200-3-4-leggi/100501-1169-001-M,119.95,105.95,All Products > Clothing > Bottoms > Tights
100501-1169-001-S,100501-1169,100501-1169-Black,Mons Royale Cascade Merino Flex 200 Mens 3/4 Base Layer Leggings - Black - S,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Black;Size:S;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Black,2025-04-02 00:00:00,y,1,9420057478491,Pants,,https://www.wildearth.com.au/assets/full/100501-1169-001-S.jpg,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-flex-200-3-4-leggi/100501-1169-001-S,119.95,105.95,All Products > Clothing > Bottoms > Tights
100501-1169-001-XL,100501-1169,100501-1169-Black,Mons Royale Cascade Merino Flex 200 Mens 3/4 Base Layer Leggings - Black - XL,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Black;Size:XL;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Black,2025-04-02 00:00:00,y,1,9420057478521,Pants,,https://www.wildearth.com.au/assets/full/100501-1169-001-XL.jpg,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-flex-200-3-4-leggi/100501-1169-001-XL,119.95,105.95,All Products > Clothing > Bottoms > Tights
100502-1169,,100502-1169,Mons Royale Cascade Merino Flex 200 Mens Base Layer Legging,Mons Royale,"Cascade is made to move with you. With the warmth and breathability of Merino and 4-way stretch, you can wave goodbye to saggy, stinky, stuffy base layers and move the way you want to this winter. Cascade Merino Flex Leggings are designed to be worn as a base layer.","<ul>
	<li>Flatlocked seams to prevent friction</li>
	<li>Full-length base layer legging.</li>
</ul>
","<p>Fit: Slim<br />
Fabric Type: Merino Flex<br />
Weight: 180gsm<br />
Blend: 81% Merino Wool 12% Nylon 7% Elastane</p>
",Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Clothing Type:Baselayer;Natural Fibre:Yes,2024-09-13 00:00:00,y,1,,Pants,"100502-1169-001-L,100502-1169-001-M,100502-1169-001-S,100502-1169-001-XL,100502-1169-001-XXL,100502-1169-299-L,100502-1169-299-M,100502-1169-299-S,100502-1169-299-XL,100502-2190-329-L,100502-2190-329-M,100502-2190-329-XL",https://www.wildearth.com.au/assets/full/100502-1169.jpg,https://www.wildearth.com.au/buy/mons-royale-cascade-merino-flex-200-mens-leggings/100502-1169,139.95,115.95,All Products > Clothing > Bottoms > Tights
100502-1169-001-L,100502-1169,100502-1169-Black,Mons Royale Cascade Merino Flex 200 Mens Leggings - Black - L,Mons Royale,"Made to move, the Cascade provides all the warmth of merino with a four-way stretch. Cascade has been designed to keep its shape and last longer.","<ul>
	<li>Flatlocked seams to prevent friction</li>
	<li>Full-length base layer legging</li>
</ul>
","<p>Fit: Slim<br />
Fabric: Merino Flex<br />
Weight: 180gsm<br />
Blend: 81% Merino Wool 12% Nylon 7% Elastane</p>
",Eco Friendly:Yes;B Corp:Yes;Best Use:Running;Gender:Men;Colours:Black;Size:L;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Black,2023-04-04 00:00:00,y,1,9420057478712,Pants,,https://www.wildearth.com.au/assets/full/100502-1169-001-L.jpg,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-flex-200-legging-b/100502-1169-001-L,129.95,115.95,All Products > Clothing > Bottoms > Tights;All Products > Clothing
100502-1169-001-M,100502-1169,100502-1169-Black,Mons Royale Cascade Merino Flex 200 Mens Leggings - Black - M,Mons Royale,"Made to move, the Cascade provides all the warmth of merino with a four-way stretch. Cascade has been designed to keep its shape and last longer.","<ul>
	<li>Flatlocked seams to prevent friction</li>
	<li>Full-length base layer legging</li>
</ul>
","<p>Fit: Slim<br />
Fabric: Merino Flex<br />
Weight: 180gsm<br />
Blend: 81% Merino Wool 12% Nylon 7% Elastane</p>
",Eco Friendly:Yes;B Corp:Yes;Best Use:Running;Gender:Men;Colours:Black;Size:M;Clothing Type:Baselayer;Natural Fibre:Yes;Colour:Black,2023-04-04 00:00:00,y,0,9420057478705,Pants,,https://www.wildearth.com.au/assets/full/100502-1169-001-M.jpg,https://www.wildearth.com.au/buy/mons-royale-mens-cascade-merino-flex-200-legging-b/100502-1169-001-M,139.95,139.95,All Products > Clothing > Bottoms > Tights;All Products > Clothing
